# LAMMPS data file written by OVITO Basic 3.12.0

8015 atoms
4 atom types

0.0 53.0854816165 xlo xhi
0.0 53.0854816165 ylo yhi
0.0 53.0854816165 zlo zhi

Masses

1 26.981538  # Al
2 58.6934  # Ni
3 63.546  # Cu
4 91.224  # Zr

Atoms  # atomic

367 1 12.2113457543 6.6446457543 29.0780157543
368 1 40.2160457543 12.8256457543 13.3737457543
369 1 6.7345457543 16.7162257543 30.4892357543
370 1 35.4453457543 36.0246457543 4.9761457543
371 1 26.8481457543 14.7143457543 17.8941957543
372 1 0.2591457543 1.4040457543 37.7103457543
373 1 41.4132457543 41.7987457543 45.0835457543
374 1 33.9870157543 52.4155457543 17.9844857543
375 1 20.5897857543 29.2736857543 7.3391457543
376 1 44.1054457543 39.5133457543 37.7194457543
377 1 48.1966457543 45.7763457543 12.3527457543
378 1 19.6791557543 1.5781457543 32.8971857543
379 1 23.2378157543 3.6817457543 14.2278457543
380 1 4.1017457543 42.4480457543 2.5754457543
381 1 15.6774857543 35.4395457543 37.8442457543
382 1 6.0628457543 14.5262457543 10.7607457543
383 1 17.0418457543 41.2808457543 20.1464257543
384 1 49.3284457543 0.4982457543 13.9513457543
385 1 39.2575457543 30.1599857543 31.6742757543
386 1 10.0858457543 24.2910977543 45.1201457543
387 1 23.5123457543 26.8916057543 36.0357457543
388 1 6.3826457543 41.7157457543 34.0216357543
389 1 34.0077957543 6.0866457543 46.9957457543
390 1 45.6990457543 29.2837157543 32.6960357543
391 1 2.3098457543 30.4320157543 28.8328757543
392 1 39.3451457543 47.1149457543 19.9251957543
393 1 33.9818657543 1.9602457543 24.6634477543
394 1 27.0746457543 32.8564157543 28.8267957543
395 1 51.2146457543 51.0814457543 28.2249757543
396 1 47.1374457543 4.3810457543 42.3441457543
397 1 31.7084657543 41.8326457543 38.1578457543
398 1 5.9817457543 2.3357457543 5.9343457543
399 1 28.6320857543 46.4378457543 14.4006457543
400 1 39.7614457543 31.1905857543 16.5326057543
401 1 27.0359457543 0.0978457543 27.8933957543
402 1 15.7092957543 28.9844957543 32.4309157543
